_id,EBDI,DELEGACION,MUNICIPIO,ALTAS,BAJAS
ObjectId("5ea7bcf927a6940f1870580f"),32,CHIHUAHUA,JUÁREZ,12,0
ObjectId("5ea7bcf927a6940f18705801"),113,TABASCO,CENTRO,11,2
ObjectId("5ea7bcfd27a6940f18705846"),83,ZONA ORIENTE,IZTAPALAPA,11,0
ObjectId("5ea7bd0027a6940f18705888"),15,ZONA NORTE,GUSTAVO A. MADERO,9,3
ObjectId("5ea7bcfd27a6940f1870585c"),129,GUANAJUATO,IRAPUATO,8,2
ObjectId("5ea7bd0027a6940f1870588d"),48,ZONA NORTE,CUAUHTÉMOC,8,4
ObjectId("5ea7bd0027a6940f18705885"),3,ZONA NORTE,CUAUHTÉMOC,8,2
ObjectId("5ea7bcf927a6940f187057d3"),59,BAJA CALIFORNIA,MEXICALI,8,2
ObjectId("5ea7bd0027a6940f1870588b"),25,ZONA NORTE,GUSTAVO A. MADERO,7,0
ObjectId("5ea7bcf927a6940f187057f8"),36,SAN LUIS POTOSÍ,SAN LUIS POTOSÍ,7,1
