_id,EBDI,DELEGACION,MUNICIPIO,ALTAS,BAJAS
ObjectId("5ea7bd0027a6940f18705883"),67,PUEBLA,PUEBLA,1,10
ObjectId("5ea7bcfd27a6940f18705842"),483,MÉXICO,METEPEC,5,7
ObjectId("5ea7bcfd27a6940f18705828"),78,SONORA,CAJEME,0,6
ObjectId("5ea7bcfd27a6940f18705855"),92,AGUASCALIENTES,AGUASCALIENTES,1,6
ObjectId("5ea7bcf927a6940f187057ce"),23,ZACATECAS,GUADALUPE,0,6
ObjectId("5ea7bcf927a6940f187057d0"),38,YUCATÁN,MÉRIDA,0,5
ObjectId("5ea7bcfd27a6940f18705870"),90,SINALOA,AHOME,5,5
ObjectId("5ea7bcfd27a6940f18705844"),98,ZONA SUR,COYOACÁN,5,5
ObjectId("5ea7bcfd27a6940f1870583b"),44,ZONA SUR,BENITO JUÁREZ,4,5
ObjectId("5ea7bcfd27a6940f1870585e"),574,GUANAJUATO,LEÓN,6,4
